x Xe ne tau dtaudx ddtauddx g dgdx ddgddx 
-10.6513 1 1.89937e+13 8791.41 -9740.87 10103.8 0 0 0 
-10.6502 1 1.89312e+13 8780.7 -9729.76 10092.6 0 0 0 
-10.6491 1 1.88688e+13 8770 -9718.66 10081.5 0 0 0 
-10.648 1 1.88066e+13 8759.32 -9707.58 10070.4 0 0 0 
-10.6469 1 1.87446e+13 8748.64 -9696.51 10059.2 0 0 0 
-10.6458 1 1.86829e+13 8737.98 -9685.45 10048.1 0 0 0 
-10.6447 1 1.86213e+13 8727.33 -9674.4 10037 0 0 0 
-10.6436 1 1.856e+13 8716.7 -9663.36 10026 0 0 0 
-10.6425 1 1.84988e+13 8706.07 -9652.34 10014.9 0 0 0 
-10.6414 1 1.84379e+13 8695.46 -9641.33 10003.8 0 0 0 
-10.6403 1 1.83771e+13 8684.86 -9630.33 9992.79 0 0 0 
-10.6392 1 1.83166e+13 8674.27 -9619.34 9981.76 0 0 0 
-10.6381 1 1.82562e+13 8663.69 -9608.37 9970.74 0 0 0 
-10.637 1 1.81961e+13 8653.13 -9597.4 9959.73 0 0 0 
-10.6359 1 1.81361e+13 8642.58 -9586.45 9948.73 0 0 0 
-10.6348 1 1.80764e+13 8632.04 -9575.51 9937.75 0 0 0 
-10.6337 1 1.80168e+13 8621.51 -9564.59 9926.78 0 0 0 
-10.6326 1 1.79574e+13 8610.99 -9553.67 9915.82 0 0 0 
-10.6315 1 1.78983e+13 8600.49 -9542.77 9904.87 0 0 0 
-10.6304 1 1.78393e+13 8590 -9531.88 9893.93 0 0 0 
-10.6293 1 1.77805e+13 8579.52 -9521 9883.01 0 0 0 
-10.6282 1 1.77219e+13 8569.05 -9510.13 9872.1 0 0 0 
-10.6271 1 1.76635e+13 8558.59 -9499.28 9861.2 0 0 0 
-10.626 1 1.76053e+13 8548.15 -9488.44 9850.31 0 0 0 
-10.6249 1 1.75473e+13 8537.72 -9477.61 9839.43 0 0 0 
-10.6238 1 1.74895e+13 8527.3 -9466.79 9828.57 0 0 0 
-10.6227 1 1.74319e+13 8516.89 -9455.98 9817.72 0 0 0 
-10.6216 1 1.73744e+13 8506.49 -9445.19 9806.88 0 0 0 
-10.6205 1 1.73172e+13 8496.11 -9434.4 9796.05 0 0 0 
-10.6194 1 1.72601e+13 8485.73 -9423.63 9785.23 0 0 0 
-10.6183 1 1.72033e+13 8475.37 -9412.87 9774.43 0 0 0 
-10.6172 1 1.71466e+13 8465.02 -9402.13 9763.64 0 0 0 
-10.6161 1 1.70901e+13 8454.68 -9391.39 9752.85 0 0 0 
-10.615 1 1.70338e+13 8444.36 -9380.67 9742.09 0 0 0 
-10.6139 1 1.69777e+13 8434.05 -9369.96 9731.33 0 0 0 
-10.6128 1 1.69217e+13 8423.74 -9359.26 9720.58 0 0 0 
-10.6117 1 1.6866e+13 8413.45 -9348.57 9709.85 0 0 0 
-10.6106 1 1.68104e+13 8403.17 -9337.89 9699.13 0 0 0 
-10.6095 1 1.6755e+13 8392.91 -9327.23 9688.42 0 0 0 
-10.6084 1 1.66998e+13 8382.65 -9316.58 9677.72 0 0 0 
-10.6073 1 1.66448e+13 8372.41 -9305.94 9667.03 0 0 0 
-10.6062 1 1.65899e+13 8362.18 -9295.31 9656.36 0 0 0 
