z dL
4.04665 1.17729e+27 
4.04463 1.17657e+27 
4.04261 1.17585e+27 
4.04059 1.17514e+27 
4.03858 1.17442e+27 
4.03656 1.1737e+27 
4.03455 1.17299e+27 
4.03253 1.17227e+27 
4.03052 1.17156e+27 
4.02851 1.17084e+27 
4.0265 1.17013e+27 
4.02448 1.16941e+27 
4.02247 1.1687e+27 
4.02047 1.16798e+27 
4.01846 1.16727e+27 
4.01645 1.16656e+27 
4.01444 1.16584e+27 
4.01244 1.16513e+27 
4.01043 1.16442e+27 
4.00843 1.16371e+27 
4.00643 1.163e+27 
4.00442 1.16228e+27 
4.00242 1.16157e+27 
4.00042 1.16086e+27 
3.99842 1.16015e+27 
3.99642 1.15944e+27 
3.99442 1.15873e+27 
3.99242 1.15803e+27 
3.99043 1.15732e+27 
3.98843 1.15661e+27 
3.98644 1.1559e+27 
3.98444 1.15519e+27 
3.98245 1.15449e+27 
3.98045 1.15378e+27 
3.97846 1.15307e+27 
3.97647 1.15237e+27 
3.97448 1.15166e+27 
3.97249 1.15096e+27 
3.9705 1.15025e+27 
3.96851 1.14955e+27 
3.96653 1.14884e+27 
3.96454 1.14814e+27 
3.96255 1.14743e+27 
3.96057 1.14673e+27 
3.95858 1.14603e+27 
3.9566 1.14532e+27 
